Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","01323","Oranges","2020","2020","ha","259","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5412","Yield","01323","Oranges","2020","2020","kg/ha","14491.8","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","01323","Oranges","2020","2020","t","3751","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","01323","Oranges","2021","2021","ha","272","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5412","Yield","01323","Oranges","2021","2021","kg/ha","14321.9","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","01323","Oranges","2021","2021","t","3890","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","01323","Oranges","2022","2022","ha","293","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5412","Yield","01323","Oranges","2022","2022","kg/ha","13227.4","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","01323","Oranges","2022","2022","t","3882","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","01323","Oranges","2023","2023","ha","275","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5412","Yield","01323","Oranges","2023","2023","kg/ha","13985.4","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","01323","Oranges","2023","2023","t","3841","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","01323","Oranges","2024","2024","ha","280","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5412","Yield","01323","Oranges","2024","2024","kg/ha","13829.3","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","01323","Oranges","2024","2024","t","3871","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2020","2020","ha","310000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2020","2020","kg/ha","9077.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2020","2020","t","2814000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2021","2021","ha","313000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2021","2021","kg/ha","7271.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2021","2021","t","2276000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2022","2022","ha","315000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2022","2022","kg/ha","8219","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2022","2022","t","2589000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2023","2023","ha","304000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2023","2023","kg/ha","9460.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2023","2023","t","2876000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2024","2024","ha","304130","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2024","2024","kg/ha","8634.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2024","2024","t","2625899","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2020","2020","ha","897000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2020","2020","kg/ha","36340","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2020","2020","t","32597000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2021","2021","ha","924000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2021","2021","kg/ha","35781.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2021","2021","t","33062000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2022","2022","ha","963000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2022","2022","kg/ha","35854.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2022","2022","t","34528000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2023","2023","ha","994000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2023","2023","kg/ha","36835","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2023","2023","t","36614000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2024","2024","ha","948469","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2024","2024","kg/ha","39658","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2024","2024","t","37614362","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01323","Oranges","2020","2020","ha","217429","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01323","Oranges","2020","2020","kg/ha","18581.4","A","Official figure",""
